,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,label
12774, Kuga,2017,14999,Manual,17651,Diesel,125,60.1,2.0,0.27273388489862715
12775, Fiesta,2019,15299,Manual,8308,Petrol,145,58.9,1.0,0.2781889262660242
12776, Fiesta,2019,15299,Manual,6553,Petrol,145,55.4,1.0,0.2781889262660242
12777, Fiesta,2020,18499,Manual,800,Petrol,145,60.1,1.0,0.3363760341849259
12778, Fiesta,2019,15299,Manual,3248,Petrol,145,55.4,1.0,0.2781889262660242
12779, Fiesta,2019,14499,Semi-Auto,7838,Petrol,145,48.7,1.0,0.26364214928629875
12780, Fiesta,2019,15999,Manual,6814,Petrol,145,55.4,1.0,0.29091735612328395
12781, Kuga,2015,12499,Manual,52748,Diesel,145,54.3,2.0,0.22727520683698518
12782, Kuga,2017,12999,Manual,18733,Diesel,30,64.2,1.5,0.23636694244931358
12783, Focus,2019,16499,Manual,3260,Petrol,145,49.6,1.0,0.30000909173561235
12784, Focus,2019,16499,Manual,5663,Petrol,145,49.6,1.0,0.30000909173561235
12785, Focus,2019,14449,Manual,9885,Diesel,145,80.7,1.5,0.26273297572506593
12786, Focus,2019,14699,Manual,5626,Diesel,145,80.7,1.5,0.2672788435312301
12787, Focus,2015,12999,Manual,29534,Petrol,205,41.5,2.0,0.23636694244931358
12788, S-MAX,2017,19299,Semi-Auto,29861,Diesel,150,52.3,2.0,0.35092281116465135
12789, Fiesta,2016,6999,Manual,37189,Petrol,0,65.7,1.0,0.12726611510137284
12790, Focus,2015,7299,Semi-Auto,49659,Petrol,165,44.8,1.6,0.1327211564687699
12791, S-MAX,2017,15999,Semi-Auto,39014,Diesel,150,52.3,2.0,0.29091735612328395
12792, Fiesta,2017,10499,Manual,20811,Petrol,20,62.8,1.0,0.1909082643876716
12793, Focus,2018,19499,Manual,13983,Petrol,145,41.5,2.0,0.3545595054095827
12794, Kuga,2016,12299,Manual,16868,Diesel,30,64.2,1.5,0.22363851259205383
12795, Focus,2018,17299,Manual,19688,Petrol,145,41.5,2.0,0.31455586871533775
12796, Fiesta,2014,7999,Manual,23101,Petrol,0,65.7,1.0,0.14544958632602964
12797, Fiesta,2017,9299,Manual,30671,Petrol,20,62.8,1.0,0.16908809891808346
12798, Focus,2018,14299,Manual,5729,Diesel,145,74.3,1.5,0.2600054550413674
12799, Kuga,2019,24500,Automatic,2465,Petrol,145,31.0,1.5,0.44549504500409126
12800, EcoSport,2019,17200,Manual,2304,Diesel,145,67.3,1.5,0.3127557050640967
12801, Focus,2019,19700,Automatic,2332,Petrol,145,41.5,1.0,0.3582143831257387
12802, Fiesta,2019,17500,Manual,8365,Petrol,145,55.4,1.0,0.3182107464314938
12803, Mondeo,2016,15200,Automatic,13807,Petrol,160,44.8,1.5,0.2763887626147832
12804, EcoSport,2017,11000,Manual,22164,Petrol,125,53.3,1.0,0.20001818347122466
12805, Fiesta,2018,12250,Manual,9881,Petrol,145,65.7,1.0,0.22274752250204563
12806, Fiesta,2018,13800,Semi-Auto,7325,Petrol,145,54.3,1.0,0.2509319029002637
12807, Fiesta,2018,13500,Semi-Auto,5886,Petrol,145,48.7,1.0,0.24547686153286663
12808, Focus,2019,23996,Manual,50,Petrol,145,48.7,1.0,0.43633057550686427
12809, Fiesta,2018,11320,Manual,32185,Petrol,145,65.7,1.0,0.20583689426311483
12810, Fiesta,2013,6000,Manual,48133,Petrol,30,54.3,1.2,0.10910082734794072
12811, Focus,2017,10910,Manual,11500,Petrol,20,60.1,1.0,0.19838167106100554
12812, Focus,2016,8500,Manual,63199,Diesel,0,74.3,1.5,0.1545595054095827
12813, Focus,2017,17700,Manual,17991,Diesel,145,67.3,2.0,0.3218474406764251
12814, Focus,2014,5710,Manual,74754,Diesel,20,67.3,1.6,0.10382762069279025
12815, EcoSport,2017,10540,Semi-Auto,33865,Petrol,165,44.8,1.5,0.19165378670788252
12816, Grand C-MAX,2016,9220,Manual,31671,Diesel,30,64.2,1.5,0.16765160469133558
12817, Galaxy,2016,17750,Automatic,35646,Diesel,160,51.4,2.0,0.32275661423765795
12818, Fiesta,2017,10770,Manual,17283,Petrol,145,62.8,1.0,0.1958359850895536
12819, Fiesta,2018,11000,Manual,4975,Petrol,145,55.4,1.1,0.20001818347122466
12820, Fiesta,2019,12600,Manual,90,Petrol,145,58.9,1.0,0.2291117374306755
12821, Focus,2017,18200,Manual,13105,Petrol,145,41.5,2.0,0.3309391762887535
12822, Focus,2019,19300,Manual,6000,Diesel,145,74.3,1.5,0.35094099463587597
12823, Fiesta,2015,7000,Manual,34741,Petrol,0,65.7,1.0,0.12728429857259752
